benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1400980 ns/op	   8.22 MB/s	         8.000 partitions/op	        80.00 records/op	   54654 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1536813 ns/op	   7.49 MB/s	         8.000 partitions/op	        80.00 records/op	   53998 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   2191475 ns/op	   5.25 MB/s	         8.000 partitions/op	        80.00 records/op	   54186 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1246199 ns/op	   9.24 MB/s	         8.000 partitions/op	        80.00 records/op	   55569 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1838439 ns/op	   6.26 MB/s	         8.000 partitions/op	        80.00 records/op	   54737 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   2364772 ns/op	   4.87 MB/s	         8.000 partitions/op	        80.00 records/op	   55136 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1636568 ns/op	   7.03 MB/s	         8.000 partitions/op	        80.00 records/op	   55224 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1369337 ns/op	   8.41 MB/s	         8.000 partitions/op	        80.00 records/op	   55933 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	    921287 ns/op	  12.49 MB/s	         8.000 partitions/op	        80.00 records/op	   54972 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	    918212 ns/op	  12.54 MB/s	         8.000 partitions/op	        80.00 records/op	   55164 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1076194 ns/op	  10.70 MB/s	         8.000 partitions/op	        80.00 records/op	   54401 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1321728 ns/op	   8.71 MB/s	         8.000 partitions/op	        80.00 records/op	   53775 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   2112064 ns/op	   5.45 MB/s	         8.000 partitions/op	        80.00 records/op	   54828 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1678442 ns/op	   6.86 MB/s	         8.000 partitions/op	        80.00 records/op	   54671 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   3441185 ns/op	   3.34 MB/s	         8.000 partitions/op	        80.00 records/op	   22342 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2852833 ns/op	   4.03 MB/s	         8.000 partitions/op	        80.00 records/op	   22485 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   3995160 ns/op	   2.88 MB/s	         8.000 partitions/op	        80.00 records/op	   22485 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2680160 ns/op	   4.29 MB/s	         8.000 partitions/op	        80.00 records/op	   22870 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2469152 ns/op	   4.66 MB/s	         8.000 partitions/op	        80.00 records/op	   22131 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2292748 ns/op	   5.02 MB/s	         8.000 partitions/op	        80.00 records/op	   22464 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1747157 ns/op	   6.59 MB/s	         8.000 partitions/op	        80.00 records/op	   22491 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1754380 ns/op	   6.56 MB/s	         8.000 partitions/op	        80.00 records/op	   22880 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2982607 ns/op	   3.86 MB/s	         8.000 partitions/op	        80.00 records/op	   22152 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2809882 ns/op	   4.10 MB/s	         8.000 partitions/op	        80.00 records/op	   22135 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1945355 ns/op	   5.92 MB/s	         8.000 partitions/op	        80.00 records/op	   22135 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   3996722 ns/op	   2.88 MB/s	         8.000 partitions/op	        80.00 records/op	   22461 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   3211166 ns/op	   3.58 MB/s	         8.000 partitions/op	        80.00 records/op	   22464 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2603750 ns/op	   4.42 MB/s	         8.000 partitions/op	        80.00 records/op	   22482 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2362521 ns/op	   4.87 MB/s	         8.000 partitions/op	        80.00 records/op	   22135 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1779256 ns/op	   6.47 MB/s	         8.000 partitions/op	        80.00 records/op	   22135 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   2409441 ns/op	   4.78 MB/s	         8.000 partitions/op	        80.00 records/op	   22485 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1363921 ns/op	   8.44 MB/s	         8.000 partitions/op	        80.00 records/op	   22321 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1259862 ns/op	   9.14 MB/s	         8.000 partitions/op	        80.00 records/op	   22881 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/raw-franz-go-16       	      50	   1357679 ns/op	   8.48 MB/s	         8.000 partitions/op	        80.00 records/op	   22135 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9249892 ns/op	   1.24 MB/s	         8.000 partitions/op	        80.00 records/op	   77874 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9309941 ns/op	   1.24 MB/s	         8.000 partitions/op	        80.00 records/op	   77950 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   7927916 ns/op	   1.45 MB/s	         8.000 partitions/op	        80.00 records/op	   78192 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8027816 ns/op	   1.43 MB/s	         8.000 partitions/op	        80.00 records/op	   78057 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8822187 ns/op	   1.30 MB/s	         8.000 partitions/op	        80.00 records/op	   77950 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8564058 ns/op	   1.34 MB/s	         8.000 partitions/op	        80.00 records/op	   78065 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9417633 ns/op	   1.22 MB/s	         8.000 partitions/op	        80.00 records/op	   78090 B/op	     854 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8104692 ns/op	   1.42 MB/s	         8.000 partitions/op	        80.00 records/op	   78080 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	  11016682 ns/op	   1.04 MB/s	         8.000 partitions/op	        80.00 records/op	   77852 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9925983 ns/op	   1.16 MB/s	         8.000 partitions/op	        80.00 records/op	   77882 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9635864 ns/op	   1.19 MB/s	         8.000 partitions/op	        80.00 records/op	   77681 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	  10032898 ns/op	   1.15 MB/s	         8.000 partitions/op	        80.00 records/op	   77908 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	  10324480 ns/op	   1.11 MB/s	         8.000 partitions/op	        80.00 records/op	   78076 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8570679 ns/op	   1.34 MB/s	         8.000 partitions/op	        80.00 records/op	   78012 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   6957164 ns/op	   1.65 MB/s	         8.000 partitions/op	        80.00 records/op	   78256 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8292578 ns/op	   1.39 MB/s	         8.000 partitions/op	        80.00 records/op	   77800 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9430626 ns/op	   1.22 MB/s	         8.000 partitions/op	        80.00 records/op	   78021 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   9529931 ns/op	   1.21 MB/s	         8.000 partitions/op	        80.00 records/op	   77896 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8139567 ns/op	   1.41 MB/s	         8.000 partitions/op	        80.00 records/op	   77856 B/op	     851 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/sarama-16             	      50	   8948571 ns/op	   1.29 MB/s	         8.000 partitions/op	        80.00 records/op	   78248 B/op	     852 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2975736 ns/op	  27.96 MB/s	         8.000 partitions/op	        80.00 records/op	  255018 B/op	     367 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2567557 ns/op	  32.40 MB/s	         8.000 partitions/op	        80.00 records/op	  201429 B/op	     364 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	  14298447 ns/op	   5.82 MB/s	         8.000 partitions/op	        80.00 records/op	  201347 B/op	     364 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2977641 ns/op	  27.94 MB/s	         8.000 partitions/op	        80.00 records/op	  224379 B/op	     365 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   1778922 ns/op	  46.76 MB/s	         8.000 partitions/op	        80.00 records/op	  270233 B/op	     367 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2440074 ns/op	  34.09 MB/s	         8.000 partitions/op	        80.00 records/op	  285580 B/op	     368 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2041441 ns/op	  40.75 MB/s	         8.000 partitions/op	        80.00 records/op	  239759 B/op	     366 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   2375373 ns/op	  35.02 MB/s	         8.000 partitions/op	        80.00 records/op	  208975 B/op	     364 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   3152193 ns/op	  26.39 MB/s	         8.000 partitions/op	        80.00 records/op	  262640 B/op	     367 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   4045716 ns/op	  20.56 MB/s	         8.000 partitions/op	        80.00 records/op	  232048 B/op	     365 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   3282972 ns/op	  25.34 MB/s	         8.000 partitions/op	        80.00 records/op	  300824 B/op	     369 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   4050757 ns/op	  20.54 MB/s	         8.000 partitions/op	        80.00 records/op	  224396 B/op	     365 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/1024B/none/golib-policy-16        	      50	   3435753 ns/op	  24.21 MB/s	         8.000 partitions/op	        80.00 records/op	  216786 B/op	     365 allocs/op
