goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentSynchronousProduce/unkeyed/1024B/snappy/golib-policy-16               68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/1024B/snappy/raw-franz-go-16               58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/1024B/snappy/sarama-16                     97.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/none/golib-policy-16                68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/none/raw-franz-go-16                58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/none/sarama-16                      92.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/golib-policy-16              68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/raw-franz-go-16              58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/sarama-16                    98.00 ± 0%
geomean                                                                         72.30
