goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
geomean                                                                                            12.54Mi

                                                                                   │ raw-producer-batch.next.txt │
                                                                                   │         records/op          │
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/golib-policy-16                          10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16                          10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16                                10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16                        10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16                        10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/sarama-16                              10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/golib-policy-16                         100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/raw-franz-go-16                         100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/none/sarama-16                               100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/golib-policy-16                       100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/raw-franz-go-16                       100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/sarama-16                             100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/golib-policy-16                         10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/raw-franz-go-16                         10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/sarama-16                               10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/golib-policy-16                       10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/raw-franz-go-16                       10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/sarama-16                             10.00 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/golib-policy-16                        100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/raw-franz-go-16                        100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/sarama-16                              100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/golib-policy-16                      100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/raw-franz-go-16                      100.0 ± 0%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/sarama-16                            100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/golib-policy-16                        10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/raw-franz-go-16                        10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/sarama-16                              10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/golib-policy-16                      10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/raw-franz-go-16                      10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/sarama-16                            10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/golib-policy-16                       100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/raw-franz-go-16                       100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/sarama-16                             100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/golib-policy-16                     100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/raw-franz-go-16                     100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/sarama-16                           100.0 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/golib-policy-16                       10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/raw-franz-go-16                       10.00 ± 0%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/sarama-16                             10.00 ± 0%
