benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6488502 ns/op	   0.22 MB/s	        10.00 records/op	   13149 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6619328 ns/op	   0.21 MB/s	        10.00 records/op	   13124 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6484556 ns/op	   0.22 MB/s	        10.00 records/op	   13118 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6842366 ns/op	   0.21 MB/s	        10.00 records/op	   13120 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6608021 ns/op	   0.21 MB/s	        10.00 records/op	   13115 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6767558 ns/op	   0.21 MB/s	        10.00 records/op	   13152 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    348054 ns/op	   4.05 MB/s	        10.00 records/op	   11309 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    310561 ns/op	   4.54 MB/s	        10.00 records/op	   10746 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    520602 ns/op	   2.71 MB/s	        10.00 records/op	   10749 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    360422 ns/op	   3.91 MB/s	        10.00 records/op	   11351 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    292490 ns/op	   4.82 MB/s	        10.00 records/op	   10776 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    306408 ns/op	   4.60 MB/s	        10.00 records/op	   10737 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    305928 ns/op	   4.61 MB/s	        10.00 records/op	   11330 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    286392 ns/op	   4.92 MB/s	        10.00 records/op	   10758 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    309714 ns/op	   4.55 MB/s	        10.00 records/op	   11330 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    301048 ns/op	   4.68 MB/s	        10.00 records/op	   10835 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    320848 ns/op	   4.39 MB/s	        10.00 records/op	   10835 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    300570 ns/op	   4.69 MB/s	        10.00 records/op	   10737 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    276337 ns/op	   5.10 MB/s	        10.00 records/op	   11330 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    287672 ns/op	   4.90 MB/s	        10.00 records/op	   10846 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    291599 ns/op	   4.84 MB/s	        10.00 records/op	   10758 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    346612 ns/op	   4.07 MB/s	        10.00 records/op	   11329 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    347473 ns/op	   4.06 MB/s	        10.00 records/op	   10768 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    326398 ns/op	   4.32 MB/s	        10.00 records/op	   10779 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    289506 ns/op	   4.87 MB/s	        10.00 records/op	   10737 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/golib-policy-16       	      50	    295286 ns/op	   4.78 MB/s	        10.00 records/op	   11333 B/op	     101 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    278033 ns/op	   5.07 MB/s	        10.00 records/op	    6241 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    282012 ns/op	   5.00 MB/s	        10.00 records/op	    6669 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    293127 ns/op	   4.81 MB/s	        10.00 records/op	    6855 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    275488 ns/op	   5.12 MB/s	        10.00 records/op	    6241 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    279078 ns/op	   5.05 MB/s	        10.00 records/op	    6833 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    274749 ns/op	   5.13 MB/s	        10.00 records/op	    6250 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    281330 ns/op	   5.01 MB/s	        10.00 records/op	    6813 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/snappy/raw-franz-go-16       	      50	    300789 ns/op	   4.69 MB/s	        10.00 records/op	    6360 B/op	      68 allocs/op
