benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7240528 ns/op	   0.19 MB/s	        10.00 records/op	   14335 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7190215 ns/op	   0.20 MB/s	        10.00 records/op	   14330 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7572628 ns/op	   0.19 MB/s	        10.00 records/op	   14339 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7236802 ns/op	   0.19 MB/s	        10.00 records/op	   14329 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6815848 ns/op	   0.21 MB/s	        10.00 records/op	   14364 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6845911 ns/op	   0.21 MB/s	        10.00 records/op	   14350 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6757025 ns/op	   0.21 MB/s	        10.00 records/op	   14344 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6378998 ns/op	   0.22 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6436739 ns/op	   0.22 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6822788 ns/op	   0.21 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6439760 ns/op	   0.22 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6354533 ns/op	   0.22 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6336396 ns/op	   0.22 MB/s	        10.00 records/op	   14323 B/op	     186 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6403752 ns/op	   0.22 MB/s	        10.00 records/op	   14347 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   6980823 ns/op	   0.20 MB/s	        10.00 records/op	   14345 B/op	     187 allocs/op
