benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1820033 ns/op	   0.08 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1152571 ns/op	   0.13 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1899008 ns/op	   0.08 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2169692 ns/op	   0.07 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1458558 ns/op	   0.10 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1449388 ns/op	   0.10 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   5510142 ns/op	   0.03 MB/s	         1.000 records/op	    1324 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1532958 ns/op	   0.10 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  97582646 ns/op	   0.00 MB/s	         1.000 records/op	    7880 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 107749017 ns/op	   0.00 MB/s	         1.000 records/op	    8446 B/op	     125 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 101349433 ns/op	   0.00 MB/s	         1.000 records/op	    7889 B/op	     117 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 111496071 ns/op	   0.00 MB/s	         1.000 records/op	    8444 B/op	     125 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  90633783 ns/op	   0.00 MB/s	         1.000 records/op	    7600 B/op	     112 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  96556100 ns/op	   0.00 MB/s	         1.000 records/op	    7883 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  98052000 ns/op	   0.00 MB/s	         1.000 records/op	    7886 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  94039704 ns/op	   0.00 MB/s	         1.000 records/op	    7600 B/op	     112 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 103178521 ns/op	   0.00 MB/s	         1.000 records/op	    8162 B/op	     121 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 108040167 ns/op	   0.00 MB/s	         1.000 records/op	    8446 B/op	     125 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 100421021 ns/op	   0.00 MB/s	         1.000 records/op	    7880 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  98400142 ns/op	   0.00 MB/s	         1.000 records/op	    7880 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  99289996 ns/op	   0.00 MB/s	         1.000 records/op	    7596 B/op	     112 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  92703075 ns/op	   0.00 MB/s	         1.000 records/op	    7597 B/op	     112 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	 107863600 ns/op	   0.00 MB/s	         1.000 records/op	    8167 B/op	     121 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  85406954 ns/op	   0.00 MB/s	         1.000 records/op	    7313 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  86761225 ns/op	   0.00 MB/s	         1.000 records/op	    7312 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  84057654 ns/op	   0.00 MB/s	         1.000 records/op	    7313 B/op	     108 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  95403246 ns/op	   0.00 MB/s	         1.000 records/op	    7878 B/op	     116 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/sarama-16               	      10	  89894525 ns/op	   0.00 MB/s	         1.000 records/op	    7597 B/op	     112 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	   1245608 ns/op	   0.12 MB/s	         1.000 records/op	    7280 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    625712 ns/op	   0.24 MB/s	         1.000 records/op	    7129 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    540900 ns/op	   0.28 MB/s	         1.000 records/op	    7251 B/op	     111 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    502421 ns/op	   0.30 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    632583 ns/op	   0.24 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    554429 ns/op	   0.27 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    443729 ns/op	   0.34 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    522396 ns/op	   0.29 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    616375 ns/op	   0.24 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    630171 ns/op	   0.24 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	   1260458 ns/op	   0.12 MB/s	         1.000 records/op	    7147 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    650533 ns/op	   0.23 MB/s	         1.000 records/op	    7161 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    562738 ns/op	   0.27 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    624408 ns/op	   0.24 MB/s	         1.000 records/op	    7240 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    499217 ns/op	   0.30 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    521204 ns/op	   0.29 MB/s	         1.000 records/op	    7132 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    624954 ns/op	   0.24 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    634442 ns/op	   0.24 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    538025 ns/op	   0.28 MB/s	         1.000 records/op	    7232 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/golib-policy-16       	      10	    799212 ns/op	   0.19 MB/s	         1.000 records/op	    7128 B/op	     110 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    862542 ns/op	   0.18 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    562008 ns/op	   0.27 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    489500 ns/op	   0.31 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    764829 ns/op	   0.20 MB/s	         1.000 records/op	    5388 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    732433 ns/op	   0.21 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    986188 ns/op	   0.15 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    607646 ns/op	   0.25 MB/s	         1.000 records/op	    5403 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    427979 ns/op	   0.35 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    845317 ns/op	   0.18 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	   1124833 ns/op	   0.13 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	   1485042 ns/op	   0.10 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    497179 ns/op	   0.30 MB/s	         1.000 records/op	    5522 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    566333 ns/op	   0.27 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    856200 ns/op	   0.18 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    786204 ns/op	   0.19 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    658692 ns/op	   0.23 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	   1066600 ns/op	   0.14 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	   1066088 ns/op	   0.14 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    927083 ns/op	   0.16 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/raw-franz-go-16       	      10	    854283 ns/op	   0.18 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    617008 ns/op	   0.24 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    997883 ns/op	   0.15 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	   1199533 ns/op	   0.13 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    786938 ns/op	   0.19 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    892750 ns/op	   0.17 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    718092 ns/op	   0.21 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    467450 ns/op	   0.32 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    718854 ns/op	   0.21 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    600396 ns/op	   0.25 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    831312 ns/op	   0.18 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    908854 ns/op	   0.17 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    580217 ns/op	   0.26 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    633325 ns/op	   0.24 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    505433 ns/op	   0.30 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    570838 ns/op	   0.26 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    625538 ns/op	   0.24 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/snappy/kafka-go-16           	      10	    601925 ns/op	   0.25 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
