benchmark-tls-broker-runtime=Apache Kafka 4.3.1 OpenSSL 3.5.7 TLS 1.3
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16422483 ns/op	         1.000 connections/op	  392870 B/op	    2573 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16525010 ns/op	         1.000 connections/op	  392803 B/op	    2572 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  15745843 ns/op	         1.000 connections/op	  387566 B/op	    2516 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  16123146 ns/op	         1.000 connections/op	  387317 B/op	    2513 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  15912682 ns/op	         1.000 connections/op	  387403 B/op	    2516 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  19247588 ns/op	         1.000 connections/op	  387259 B/op	    2515 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  16304842 ns/op	         1.000 connections/op	  387541 B/op	    2517 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  15684875 ns/op	         1.000 connections/op	  387641 B/op	    2518 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  16157826 ns/op	         1.000 connections/op	  387370 B/op	    2513 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  16453222 ns/op	         1.000 connections/op	  387848 B/op	    2518 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  15924785 ns/op	         1.000 connections/op	  387182 B/op	    2515 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/raw-franz-go-16             	     100	  16035816 ns/op	         1.000 connections/op	  387162 B/op	    2511 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13473522 ns/op	         1.000 connections/op	  683248 B/op	    3924 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13429737 ns/op	         1.000 connections/op	  684867 B/op	    3953 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13875845 ns/op	         1.000 connections/op	  685313 B/op	    3973 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13511169 ns/op	         1.000 connections/op	  688410 B/op	    3997 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13240529 ns/op	         1.000 connections/op	  689251 B/op	    4020 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13380108 ns/op	         1.000 connections/op	  689338 B/op	    4040 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13371590 ns/op	         1.000 connections/op	  691188 B/op	    4069 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13508411 ns/op	         1.000 connections/op	  692732 B/op	    4095 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13114868 ns/op	         1.000 connections/op	  693374 B/op	    4118 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/sarama-16                   	     100	  13387762 ns/op	         1.000 connections/op	  694339 B/op	    4141 allocs/op
PASS
ok  	github.com/faustbrian/golib/pkg/kafka/benchmarks/clients	75.364s
