goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentReplay/100-records/1024B/snappy/golib-policy-16    415.7Ki ±  2%
EquivalentReplay/100-records/1024B/snappy/raw-franz-go-16    402.4Ki ±  2%
EquivalentReplay/100-records/1024B/snappy/kafka-go-16        533.1Ki ± 55%
EquivalentReplay/100-records/1024B/snappy/sarama-16          379.2Ki ±  0%
geomean                                                      227.4Ki

                                                          │ raw-replay.txt │
                                                          │   allocs/op    │
EquivalentReplay/10-records/128B/none/golib-policy-16          1.306k ± 0%
EquivalentReplay/10-records/128B/none/raw-franz-go-16          1.252k ± 0%
EquivalentReplay/10-records/128B/none/kafka-go-16               663.5 ± 5%
EquivalentReplay/10-records/128B/none/sarama-16                 941.0 ± 0%
EquivalentReplay/10-records/128B/snappy/golib-policy-16        1.306k ± 0%
EquivalentReplay/10-records/128B/snappy/raw-franz-go-16        1.254k ± 0%
EquivalentReplay/10-records/128B/snappy/kafka-go-16             710.0 ± 5%
EquivalentReplay/10-records/128B/snappy/sarama-16               953.0 ± 0%
EquivalentReplay/10-records/1024B/none/golib-policy-16         1.305k ± 0%
EquivalentReplay/10-records/1024B/none/raw-franz-go-16         1.251k ± 0%
EquivalentReplay/10-records/1024B/none/kafka-go-16              770.0 ± 5%
EquivalentReplay/10-records/1024B/none/sarama-16                964.0 ± 0%
EquivalentReplay/10-records/1024B/snappy/golib-policy-16       1.305k ± 0%
EquivalentReplay/10-records/1024B/snappy/raw-franz-go-16       1.254k ± 0%
EquivalentReplay/10-records/1024B/snappy/kafka-go-16            810.0 ± 7%
EquivalentReplay/10-records/1024B/snappy/sarama-16              977.0 ± 0%
EquivalentReplay/100-records/128B/none/golib-policy-16         1.492k ± 2%
EquivalentReplay/100-records/128B/none/raw-franz-go-16         1.258k ± 0%
EquivalentReplay/100-records/128B/none/kafka-go-16             1.002k ± 3%
EquivalentReplay/100-records/128B/none/sarama-16               1.077k ± 0%
EquivalentReplay/100-records/128B/snappy/golib-policy-16       1.667k ± 8%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16       1.264k ± 0%
EquivalentReplay/100-records/128B/snappy/kafka-go-16           1.012k ± 7%
