benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   3053658 ns/op	         1.000 partitions/op	   19811 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   5522408 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   3983125 ns/op	         1.000 partitions/op	   19804 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   7192358 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	  21993054 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   4791179 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	  23142242 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   7014325 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	  11575471 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   8136575 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   9196542 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	  10187183 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   7775354 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   4890725 ns/op	         1.000 partitions/op	   19809 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   3561921 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   8367604 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	  15067312 ns/op	         8.000 partitions/op	   49513 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	  23571104 ns/op	         8.000 partitions/op	   49580 B/op	     530 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   9375625 ns/op	         8.000 partitions/op	   49618 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   3077579 ns/op	         8.000 partitions/op	   49616 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   6626371 ns/op	         8.000 partitions/op	   49512 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   3306679 ns/op	         8.000 partitions/op	   49513 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   3128829 ns/op	         8.000 partitions/op	   49626 B/op	     530 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   1580512 ns/op	         8.000 partitions/op	   49618 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   1835479 ns/op	         8.000 partitions/op	   49865 B/op	     530 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   1048071 ns/op	         8.000 partitions/op	   49616 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   2105146 ns/op	         8.000 partitions/op	   49512 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   2946975 ns/op	         8.000 partitions/op	   49513 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   2070362 ns/op	         8.000 partitions/op	   49561 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   1925912 ns/op	         8.000 partitions/op	   49721 B/op	     530 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	  24103354 ns/op	         8.000 partitions/op	   49513 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	  19538608 ns/op	         8.000 partitions/op	   49618 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   3636962 ns/op	         8.000 partitions/op	   49618 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	  13520233 ns/op	         8.000 partitions/op	   49512 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   4038521 ns/op	         8.000 partitions/op	   49513 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/golib-policy-16         	      10	   5717367 ns/op	         8.000 partitions/op	   49618 B/op	     529 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   3319933 ns/op	         8.000 partitions/op	   47984 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	  15994958 ns/op	         8.000 partitions/op	   47880 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	  11028938 ns/op	         8.000 partitions/op	   47984 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2716158 ns/op	         8.000 partitions/op	   47881 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2854142 ns/op	         8.000 partitions/op	   48020 B/op	     508 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   4629621 ns/op	         8.000 partitions/op	   48107 B/op	     508 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   9184517 ns/op	         8.000 partitions/op	   47986 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   6819033 ns/op	         8.000 partitions/op	   47881 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   4124900 ns/op	         8.000 partitions/op	   47984 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   3026275 ns/op	         8.000 partitions/op	   47984 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2953704 ns/op	         8.000 partitions/op	   48080 B/op	     508 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2710792 ns/op	         8.000 partitions/op	   47880 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   3390088 ns/op	         8.000 partitions/op	   47986 B/op	     507 allocs/op
BenchmarkEquivalentInspection/8-partitions/raw-franz-go-16         	      10	   2783617 ns/op	         8.000 partitions/op	   47881 B/op	     507 allocs/op
