id	version	source	line	object	variant	name	type	pattern	required	description
OAS-3.0.0-F0140	3.0.0	oas/3.0/3.0.0.md	3372	Security Requirement Object	Patterned Fields	{name}	[string]	true	true	"Each name MUST correspond to a security scheme which is declared in the [Security Schemes](#componentsSecuritySchemes) under the [Components Object](#components-object). If the security scheme is of type `""oauth2""` or `""openIdConnect""`, then the value is a list of scope names required for the execution. For other security scheme types, the array MUST be empty."
OAS-3.0.1-F0001	3.0.1	oas/3.0/3.0.1.md	191	OpenAPI Object	Fixed Fields	openapi	string	false	true	**REQUIRED**. This string MUST be the [semantic version number](https://semver.org/spec/v2.0.0.html) of the [OpenAPI Specification version](#versions) that the OpenAPI document uses. The `openapi` field SHOULD be used by tooling specifications and clients to interpret the OpenAPI document. This is *not* related to the API [`info.version`](#infoVersion) string.
OAS-3.0.1-F0002	3.0.1	oas/3.0/3.0.1.md	192	OpenAPI Object	Fixed Fields	info	Info Object	false	true	**REQUIRED**. Provides metadata about the API. The metadata MAY be used by tooling as required.
OAS-3.0.1-F0003	3.0.1	oas/3.0/3.0.1.md	193	OpenAPI Object	Fixed Fields	servers	[Server Object]	false	false	An array of Server Objects, which provide connectivity information to a target server. If the `servers` property is not provided, or is an empty array, the default value would be a [Server Object](#server-object) with a [url](#serverUrl) value of `/`.
OAS-3.0.1-F0004	3.0.1	oas/3.0/3.0.1.md	194	OpenAPI Object	Fixed Fields	paths	Paths Object	false	true	**REQUIRED**. The available paths and operations for the API.
OAS-3.0.1-F0005	3.0.1	oas/3.0/3.0.1.md	195	OpenAPI Object	Fixed Fields	components	Components Object	false	false	An element to hold various schemas for the specification.
OAS-3.0.1-F0006	3.0.1	oas/3.0/3.0.1.md	196	OpenAPI Object	Fixed Fields	security	[Security Requirement Object]	false	false	A declaration of which security mechanisms can be used across the API. The list of values includes alternative security requirement objects that can be used. Only one of the security requirement objects need to be satisfied to authorize a request. Individual operations can override this definition.
OAS-3.0.1-F0007	3.0.1	oas/3.0/3.0.1.md	197	OpenAPI Object	Fixed Fields	tags	[Tag Object]	false	false	A list of tags used by the specification with additional metadata. The order of the tags can be used to reflect on their order by the parsing tools. Not all tags that are used by the [Operation Object](#operation-object) must be declared. The tags that are not declared MAY be organized randomly or based on the tools' logic. Each tag name in the list MUST be unique.
OAS-3.0.1-F0008	3.0.1	oas/3.0/3.0.1.md	198	OpenAPI Object	Fixed Fields	externalDocs	External Documentation Object	false	false	Additional external documentation.
OAS-3.0.1-F0009	3.0.1	oas/3.0/3.0.1.md	211	Info Object	Fixed Fields	title	string	false	true	**REQUIRED**. The title of the application.
OAS-3.0.1-F0010	3.0.1	oas/3.0/3.0.1.md	212	Info Object	Fixed Fields	description	string	false	false	A short description of the application. [CommonMark syntax](http://spec.commonmark.org/) MAY be used for rich text representation.
OAS-3.0.1-F0011	3.0.1	oas/3.0/3.0.1.md	213	Info Object	Fixed Fields	termsOfService	string	false	false	A URL to the Terms of Service for the API. MUST be in the format of a URL.
OAS-3.0.1-F0012	3.0.1	oas/3.0/3.0.1.md	214	Info Object	Fixed Fields	contact	Contact Object	false	false	The contact information for the exposed API.
OAS-3.0.1-F0013	3.0.1	oas/3.0/3.0.1.md	215	Info Object	Fixed Fields	license	License Object	false	false	The license information for the exposed API.
OAS-3.0.1-F0014	3.0.1	oas/3.0/3.0.1.md	216	Info Object	Fixed Fields	version	string	false	true	**REQUIRED**. The version of the OpenAPI document (which is distinct from the [OpenAPI Specification version](#oasVersion) or the API implementation version).
OAS-3.0.1-F0015	3.0.1	oas/3.0/3.0.1.md	263	Contact Object	Fixed Fields	name	string	false	false	The identifying name of the contact person/organization.
OAS-3.0.1-F0016	3.0.1	oas/3.0/3.0.1.md	264	Contact Object	Fixed Fields	url	string	false	false	The URL pointing to the contact information. MUST be in the format of a URL.
OAS-3.0.1-F0017	3.0.1	oas/3.0/3.0.1.md	265	Contact Object	Fixed Fields	email	string	false	false	The email address of the contact person/organization. MUST be in the format of an email address.
OAS-3.0.1-F0018	3.0.1	oas/3.0/3.0.1.md	293	License Object	Fixed Fields	name	string	false	true	**REQUIRED**. The license name used for the API.
OAS-3.0.1-F0019	3.0.1	oas/3.0/3.0.1.md	294	License Object	Fixed Fields	url	string	false	false	A URL to the license used for the API. MUST be in the format of a URL.
OAS-3.0.1-F0020	3.0.1	oas/3.0/3.0.1.md	320	Server Object	Fixed Fields	url	string	false	true	**REQUIRED**. A URL to the target host. This URL supports Server Variables and MAY be relative, to indicate that the host location is relative to the location where the OpenAPI document is being served. Variable substitutions will be made when a variable is named in `{`brackets`}`.
OAS-3.0.1-F0021	3.0.1	oas/3.0/3.0.1.md	321	Server Object	Fixed Fields	description	string	false	false	An optional string describing the host designated by the URL. [CommonMark syntax](http://spec.commonmark.org/) MAY be used for rich text representation.
