goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/sarama-16                       1.234Mi ± 1%
geomean                                                                                  26.56Ki

                                                                              │ raw-authenticated.txt │
                                                                              │       allocs/op       │
EquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16                        72.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16                        60.50 ± 1%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16                              96.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16                       71.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16                       60.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16                             96.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16                  71.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16                  60.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16                        96.00 ± 0%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16                 72.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16                 61.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16                       96.00 ± 0%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/golib-policy-16               71.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/raw-franz-go-16               60.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/sarama-16                     96.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/golib-policy-16              71.50 ± 1%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/raw-franz-go-16              60.00 ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/sarama-16                    96.00 ± 0%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/golib-policy-16               71.00 ± 1%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/raw-franz-go-16               60.50 ± 1%
