goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
TransactionProcessorPolicyOverhead/100-records/1024B/policy-16                                                                                             211.5Ki ± 0%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-observed-16                                                                                    212.1Ki ± 0%
geomean                                                                                                                                                    5.495Ki

                                                                                     │ docs/performance-results/2026-08-10/raw-consumer-transaction-policy-overhead.txt │
                                                                                     │                                    allocs/op                                     │
ConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16                                                                                        1.000 ± 0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-16                                                                                                 25.00 ± 0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-observed-16                                                                                        49.00 ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/transport-floor-16                                                                                      1.000 ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-16                                                                                               128.0 ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16                                                                                      245.0 ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16                                                                                     1.000 ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-16                                                                                             1.121k ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16                                                                                    2.138k ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16                                                                         1.000 ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                                                                                 1.139k ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16                                                                        2.156k ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16                                                                         1.000 ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                                                                                 1.145k ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16                                                                        2.162k ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16                                                                                       1.000 ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                                                                                                39.00 ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-observed-16                                                                                       84.00 ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/transport-floor-16                                                                                      1.000 ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-16                                                                                               132.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-observed-16                                                                                      357.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/transport-floor-16                                                                          1.000 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-16                                                                                   183.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-observed-16                                                                          432.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/transport-floor-16                                                                          1.000 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-16                                                                                   189.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-observed-16                                                                          438.0 ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/transport-floor-16                                                                                        1.000 ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-16                                                                                                 34.00 ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-observed-16                                                                                        46.00 ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/transport-floor-16                                                                                       1.000 ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-16                                                                                                196.0 ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-observed-16                                                                                       208.0 ± 0%
TransactionProcessorPolicyOverhead/100-records/1024B/transport-floor-16                                                                                      1.000 ± 0%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-16                                                                                              1.816k ± 0%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-observed-16                                                                                     1.828k ± 0%
geomean                                                                                                                                                      43.76
