goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
ProducerPolicyOverhead/async/10-records/128B/policy-16                            13.91Ki ± 0%
ProducerPolicyOverhead/async/10-records/128B/policy-observed-16                   17.42Ki ± 0%
ProducerPolicyOverhead/async/10-records/1024B/transport-floor-16                    0.000 ± 0%
ProducerPolicyOverhead/async/10-records/1024B/policy-16                           22.66Ki ± 0%
ProducerPolicyOverhead/async/10-records/1024B/policy-observed-16                  26.17Ki ± 0%
ProducerPolicyOverhead/async/100-records/128B/transport-floor-16                    0.000 ± 0%
ProducerPolicyOverhead/async/100-records/128B/policy-16                           139.1Ki ± 0%
ProducerPolicyOverhead/async/100-records/128B/policy-observed-16                  174.2Ki ± 0%
ProducerPolicyOverhead/async/100-records/1024B/transport-floor-16                   0.000 ± 0%
ProducerPolicyOverhead/async/100-records/1024B/policy-16                          226.6Ki ± 0%
ProducerPolicyOverhead/async/100-records/1024B/policy-observed-16                 261.7Ki ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/transport-floor-16               0.000 ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-16                      2.484Ki ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-observed-16             3.141Ki ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/transport-floor-16              0.000 ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-16                     21.89Ki ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-observed-16            22.55Ki ± 0%
geomean                                                                                        ¹
¹ summaries must be >0 to compute geomean

                                                                       │ raw-policy-overhead.txt │
                                                                       │        allocs/op        │
ProducerPolicyOverhead/single/128B/transport-floor-16                               0.000 ± 0%
ProducerPolicyOverhead/single/128B/policy-16                                        14.00 ± 0%
ProducerPolicyOverhead/single/128B/policy-observed-16                               21.00 ± 0%
ProducerPolicyOverhead/single/1024B/transport-floor-16                              0.000 ± 0%
ProducerPolicyOverhead/single/1024B/policy-16                                       14.00 ± 0%
ProducerPolicyOverhead/single/1024B/policy-observed-16                              21.00 ± 0%
ProducerPolicyOverhead/single/65536B/transport-floor-16                             0.000 ± 0%
ProducerPolicyOverhead/single/65536B/policy-16                                      14.00 ± 0%
ProducerPolicyOverhead/single/65536B/policy-observed-16                             21.00 ± 0%
ProducerPolicyOverhead/batch/10-records/128B/transport-floor-16                     1.000 ± 0%
ProducerPolicyOverhead/batch/10-records/128B/policy-16                              81.00 ± 0%
ProducerPolicyOverhead/batch/10-records/128B/policy-observed-16                     88.00 ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16                    1.000 ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/policy-16                             81.00 ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16                    88.00 ± 0%
ProducerPolicyOverhead/batch/100-records/128B/transport-floor-16                    1.000 ± 0%
ProducerPolicyOverhead/batch/100-records/128B/policy-16                             713.0 ± 0%
ProducerPolicyOverhead/batch/100-records/128B/policy-observed-16                    720.0 ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16                   1.000 ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/policy-16                            713.0 ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/policy-observed-16                   720.0 ± 0%
ProducerPolicyOverhead/async/10-records/128B/transport-floor-16                     0.000 ± 0%
ProducerPolicyOverhead/async/10-records/128B/policy-16                              180.0 ± 0%
ProducerPolicyOverhead/async/10-records/128B/policy-observed-16                     250.0 ± 0%
ProducerPolicyOverhead/async/10-records/1024B/transport-floor-16                    0.000 ± 0%
ProducerPolicyOverhead/async/10-records/1024B/policy-16                             180.0 ± 0%
ProducerPolicyOverhead/async/10-records/1024B/policy-observed-16                    250.0 ± 0%
ProducerPolicyOverhead/async/100-records/128B/transport-floor-16                    0.000 ± 0%
ProducerPolicyOverhead/async/100-records/128B/policy-16                            1.800k ± 0%
ProducerPolicyOverhead/async/100-records/128B/policy-observed-16                   2.500k ± 0%
ProducerPolicyOverhead/async/100-records/1024B/transport-floor-16                   0.000 ± 0%
ProducerPolicyOverhead/async/100-records/1024B/policy-16                           1.800k ± 0%
ProducerPolicyOverhead/async/100-records/1024B/policy-observed-16                  2.500k ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/transport-floor-16               0.000 ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-16                        25.00 ± 0%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-observed-16               37.00 ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/transport-floor-16              0.000 ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-16                       196.0 ± 0%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-observed-16              208.0 ± 0%
geomean                                                                                        ¹
¹ summaries must be >0 to compute geomean
