goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	     673	    229363 ns/op	  50.27 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	    1058	     98396 ns/op	 117.18 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	    6609	     48293 ns/op	 238.75 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     16969 ns/op	 679.46 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     13210 ns/op	 872.83 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     22437 ns/op	 513.88 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     15874 ns/op	 726.36 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  347695	       360.5 ns/op	319813.91 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  354008	       556.9 ns/op	207038.45 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  329990	       466.2 ns/op	247344.41 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  343412	       353.8 ns/op	325882.73 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  364321	       351.3 ns/op	328190.41 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  343760	       350.4 ns/op	329069.14 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  350530	       348.1 ns/op	331231.39 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  362268	       354.6 ns/op	325165.61 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  363034	       349.8 ns/op	329660.19 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16      	  344077	       347.9 ns/op	331411.00 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2256	     53911 ns/op	2138.70 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2280	     54051 ns/op	2133.18 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2326	     58765 ns/op	1962.06 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	     877	    167654 ns/op	 687.73 MB/s	   91742 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    1149	    116426 ns/op	 990.33 MB/s	   91738 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2244	     73274 ns/op	1573.54 MB/s	   91737 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    1948	     79446 ns/op	1451.30 MB/s	   91738 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2090	     54753 ns/op	2105.82 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2348	     53613 ns/op	2150.61 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-16               	    2312	     54707 ns/op	2107.58 MB/s	   91736 B/op	    1121 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1155	    107665 ns/op	1070.91 MB/s	  154161 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1058	    112387 ns/op	1025.92 MB/s	  154162 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1101	    127010 ns/op	 907.80 MB/s	  154162 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1173	    101870 ns/op	1131.84 MB/s	  154160 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1196	    100886 ns/op	1142.87 MB/s	  154160 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1191	    101795 ns/op	1132.67 MB/s	  154160 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1178	    101835 ns/op	1132.22 MB/s	  154161 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1184	    101135 ns/op	1140.06 MB/s	  154161 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1212	    106459 ns/op	1083.05 MB/s	  154161 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16      	    1083	    123570 ns/op	 933.07 MB/s	  154162 B/op	    2138 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  329202	       360.8 ns/op	319552.94 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  345613	       365.0 ns/op	315928.59 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  341017	       364.7 ns/op	316151.81 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  341754	       367.1 ns/op	314058.06 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  334261	       366.9 ns/op	314262.64 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  337678	       368.6 ns/op	312766.02 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  339378	       376.7 ns/op	306105.41 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  266397	       476.7 ns/op	241893.96 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  251473	       731.9 ns/op	157538.86 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16         	  144069	       875.7 ns/op	131663.24 MB/s	     896 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    1934	     68098 ns/op	1693.16 MB/s	   92010 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2187	     54514 ns/op	2115.07 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2320	     53444 ns/op	2157.39 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2220	     53802 ns/op	2143.06 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2245	     54775 ns/op	2104.99 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2282	     55107 ns/op	2092.29 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2264	     54734 ns/op	2106.56 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2241	     54329 ns/op	2122.27 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2216	     54413 ns/op	2118.98 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                  	    2252	     55379 ns/op	2082.03 MB/s	   92008 B/op	    1139 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1170	    103225 ns/op	1116.98 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1189	    102197 ns/op	1128.21 MB/s	  154433 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1155	    104872 ns/op	1099.43 MB/s	  154433 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1147	    104393 ns/op	1104.48 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1098	    104934 ns/op	1098.79 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1165	    104291 ns/op	1105.56 MB/s	  154432 B/op	    2156 allocs/op
BenchmarkConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16         	    1153	    104052 ns/op	1108.10 MB/s	  154432 B/op	    2156 allocs/op
